new_index,dividendyield,earningsyield,ebitdagrowth,evtoebit,evtoebitda,evtofcff,evtoinvestedcapital,evtonopat,freecashflow,pricetoearnings,revenuegrowth
AMP2017-12-31,-0.049526035666999375,0.147772146585627,0.002590689244133127,-0.2523392883344531,-0.33422527980619404,-0.3046990075288005,-0.13107157553477716,-0.20281232162773757,-0.14655886225799455,-0.1910326107560227,-0.4764952067415811
ANSS2017-12-31,-0.9445306992770065,-0.7487257698114674,-0.12245847851258997,0.052896331886523776,1.1568289351413115,-0.1921981921709703,-0.014388075802056102,-0.006743668907521375,-0.4934786543069243,0.0034269934697471875,0.06914827488246673
ANTM2017-12-31,-0.38386043467086245,0.3602132271365955,-0.1530149968327984,-0.3034133485819143,-0.6699888449028731,-0.27556134988709535,-0.12590186288700345,-0.26844103916254214,-0.8470620758722552,-0.2053034222485645,-0.2527314897599618
ANTM2018-03-31,-0.3509811916430414,0.39905130357401375,-0.14991967393195346,-0.30821555174832826,-0.6944707414816021,-0.2780513764135654,-0.12737489236415295,-0.27051401106660106,-1.0331069086366214,-0.2075134197946949,-0.4383355442071128
AON2017-12-31,-0.4532514716559239,-0.38294930704969193,-0.16644234758634516,0.5355565470846367,1.0904283954997227,-0.26146649556267315,-0.10775331197249359,0.32375284650027647,-0.22152829271743352,-0.12469232470469276,-0.21894485885381584
AOS2017-12-31,-0.5177991074017596,-0.5569212605910838,-0.0818372631018176,-0.14624077378055253,0.200553414948042,-0.07585969286497234,-0.024607100220799514,-0.0955271867810509,-0.5223767507886169,-0.08071129440231499,0.1217341513019169
APA2017-12-31,0.17122129004386724,0.7373533322758802,0.8540624305515689,-0.019010840984496756,-0.7636375385868054,-0.23319346400872384,-0.1496565796277017,-0.22624202704667368,-0.3948287325330205,-0.22310631615019572,0.6962437478058763
APD2017-12-31,0.14150888628784766,0.69580962670096,-0.10508442780503864,-0.09491151566284742,-0.07813407386754578,-0.09436583084661815,-0.1085603740998207,-0.10621024352017283,-0.440753133116973,-0.22148459133217197,0.24153058112004236
APD2018-03-31,0.4904200601751498,0.7574733744074877,-0.09387286133797493,-0.10691271280404697,-0.12450773831375454,-0.10288730862957504,-0.11077650273849517,-0.11366226364725994,-0.5270068439546263,-0.22386825775021746,0.19358463497289652
APH2017-12-31,-0.5724736560060966,-0.6703855079665172,-0.06357918425565469,-0.12293500071152194,0.28376907018306197,-0.07928076228761521,-0.08438613555400834,-0.03664121983567599,-0.4638647202039021,-0.03770562272917854,0.11897619864743506
ATVI2017-12-31,-0.7227588079193806,-1.1077135631009645,-0.13431490391732973,0.2377406325100077,0.5392075636864753,-0.26499342935267167,-0.07984288371835566,0.7765005890742848,-0.14199799418628523,0.7875156552314319,-0.24658597739339927
AVB2017-12-31,0.5514282873230897,-0.3707247826738866,-0.018054592087135567,1.698019056554208,2.3760646826154623,-0.013179936868235827,-0.14529769163465522,-0.08169174081504632,-0.4752881340331861,-0.12712368891150366,-0.2908158731897172
AYI2018-02-28,-0.774499373080725,0.17175385939530557,-0.1329215188456677,-0.2634231525907219,-0.4451242307070472,-0.28466367284911726,-0.11452209876532105,-0.22427295627529292,-0.4883750355925833,-0.192857968441468,-0.48815662441710733
BA2017-12-31,-0.042912930128825584,-0.11145172141560701,0.12910833956905773,-0.17644206227597062,-0.053455327506761637,-0.2690669936022477,11.883158135312453,-0.18727477307848375,0.7481956339486892,-0.1663820266159939,-0.7554864123625761
BA2018-03-31,-0.09656291308640345,-0.22555548113263194,0.13254976397569337,-0.14287147216935947,0.11425032628921297,-0.25829821253812646,13.232263128747686,-0.16983597810834744,0.9175867114934365,-0.15156269055264998,-0.6036279274917277
BF.B2018-01-31,-0.16227482797628373,-0.6897922478709648,-0.23450312707236912,0.07061534076913388,1.5552010914463106,-0.08856019673874913,0.00604244798063042,-0.024808756816301316,-0.44400853772552473,-0.028597179605323302,-0.25625592057152047
BIIB2017-12-31,-0.9445306992770065,-0.3257867423628272,-0.08909437498208188,-0.2512322813567735,-0.4344943424760797,-0.22435761333259316,-0.0720619770548942,-0.1693518276914927,-0.14597711600063693,-0.13551544218365308,-0.17695964908893727
BIIB2018-03-31,-0.9445306992770065,-0.17535376231770464,-0.07910477538805744,-0.2832768571717235,-0.5935178848319465,-0.24440623137395984,-0.08727011280620525,-0.19407091730553966,0.007392190382998236,-0.1584715318022852,-0.04021173360046072
BLL2017-12-31,-0.2537871686981936,-0.5653579041743861,0.14175043171748508,-0.043585706165010445,-0.18997583161929377,-0.18581654319737567,-0.14317186365358378,-0.0763350601969698,-0.4565142089574154,-0.07801025423594585,0.7814733814508311
BMY2017-12-31,0.24871570987147942,-1.0004476661132635,-0.15183996589509632,-0.14194551773475825,0.12307748493715089,-0.26888666190424265,-0.0008918900178025824,0.7036637304599294,0.3300932586041901,0.31321495884936756,-0.19495819867029512
